=== Sheet: Helix SLA Q1-2026 ===
Week,Deliveries,On-Time,OTD %,SLA Target %,Breach?
W01,207,203,98.2,98,no
W02,202,199,98.5,98,no
W03,195,191,98.1,98,no
W04,190,187,98.3,98,no
W05,231,226,98,98,no
W06,232,228,98.4,98,no
W07,233,200,86,98,YES
W08,207,164,79.2,98,YES
W09,231,204,88.4,98,YES
W10,212,208,98.2,98,no
W11,180,177,98.6,98,no
W12,212,208,98.1,98,no
W13,239,235,98.3,98,no
Quarter,2771,2630,94.9,98,YES

=== Sheet: Credit Calc ===
Contractual SLA %,98
Actual Q1 OTD %,95.1
Shortfall (pts),2.9
Credit rate (USD/pt),5000
Service credit owed (USD),14500
Basis,"Per SOW-2022-007 service-credit schedule ($5,000/pt)"

