Dock Door,Type,Utilization %,Avg Dwell (min)
D01,reefer,91,42
D02,reefer,86,72
D03,reefer,80,81
D04,reefer,93,57
D05,reefer,87,71
D06,reefer,82,50
D07,ambient,64,87
D08,ambient,55,94
D09,ambient,75,43
D10,ambient,56,55
D11,ambient,72,83
D12,ambient,69,54
D13,ambient,74,45
D14,ambient,63,87
D15,ambient,63,70
D16,ambient,76,69
D17,ambient,68,63
D18,ambient,72,86
D19,ambient,63,80
D20,ambient,75,93
D21,ambient,85,47
D22,ambient,62,65
D23,ambient,77,81
D24,ambient,80,93
Note,Reefer docks D01-D06 at 90%+ utilization — bottleneck for cold-chain (Helix).,,
