date,shift,units_processed,labor_hours
2026-01-01,AM,3448,8.0
2026-01-01,PM,3391,8.0
2026-01-02,AM,3594,8.5
2026-01-02,PM,3533,8.0
2026-01-03,AM,3392,8.0
2026-01-03,PM,3487,8.5
2026-01-04,AM,3075,8.0
2026-01-04,PM,3697,8.5
2026-01-05,AM,2885,7.5
2026-01-05,PM,3472,8.0
2026-01-06,AM,3014,7.5
2026-01-06,PM,3041,8.0
2026-01-07,AM,2913,7.5
2026-01-07,PM,3281,8.0
2026-01-08,AM,2942,7.5
2026-01-08,PM,3194,8.0
2026-01-09,AM,3670,8.5
2026-01-09,PM,3310,7.5
2026-01-10,AM,2843,7.5
2026-01-10,PM,3180,8.0
2026-01-11,AM,3314,8.0
2026-01-11,PM,3187,8.0
2026-01-12,AM,3088,7.5
2026-01-12,PM,3529,8.0
2026-01-13,AM,3424,8.0
2026-01-13,PM,3365,8.0
2026-01-14,AM,3330,8.0
2026-01-14,PM,3522,8.5
2026-01-15,AM,3349,8.0
2026-01-15,PM,3441,8.5
2026-01-16,AM,3437,8.5
2026-01-16,PM,3402,8.0
2026-01-17,AM,3368,8.0
2026-01-17,PM,3261,7.5
2026-01-18,AM,3134,7.5
2026-01-18,PM,3369,8.0
2026-01-19,AM,3032,7.5
2026-01-19,PM,2849,7.5
2026-01-20,AM,3078,7.5
2026-01-20,PM,3029,8.0
2026-01-21,AM,3321,8.0
2026-01-21,PM,3186,8.0
2026-01-22,AM,3210,8.5
2026-01-22,PM,3317,8.5
2026-01-23,AM,3736,8.5
2026-01-23,PM,3597,8.5
2026-01-24,AM,3733,8.5
2026-01-24,PM,3500,8.0
2026-01-25,AM,3290,8.0
2026-01-25,PM,3016,8.0
2026-01-26,AM,3039,8.0
2026-01-26,PM,3348,8.5
2026-01-27,AM,3281,8.0
2026-01-27,PM,3782,8.5
2026-01-28,AM,3325,8.0
2026-01-28,PM,2902,7.5
2026-01-29,AM,3132,8.0
2026-01-29,PM,3437,8.0
2026-01-30,AM,3275,7.5
2026-01-30,PM,3186,8.0
2026-01-31,AM,3140,8.0
2026-01-31,PM,2928,7.5
2026-02-01,AM,3054,8.0
2026-02-01,PM,3250,8.5
2026-02-02,AM,3494,8.0
2026-02-02,PM,3333,7.5
2026-02-03,AM,3026,8.0
2026-02-03,PM,2924,7.5
2026-02-04,AM,3709,8.5
2026-02-04,PM,2867,7.5
2026-02-05,AM,3150,7.5
2026-02-05,PM,3355,8.0
2026-02-06,AM,3340,7.5
2026-02-06,PM,3237,8.0
2026-02-07,AM,3153,7.5
2026-02-07,PM,3108,7.5
2026-02-08,AM,3571,8.0
2026-02-08,PM,3556,8.5
2026-02-09,AM,3552,8.0
2026-02-09,PM,3223,8.0
2026-02-10,AM,3178,8.0
2026-02-10,PM,3542,8.0
2026-02-11,AM,3101,8.0
2026-02-11,PM,3371,8.0
2026-02-12,AM,3262,8.0
2026-02-12,PM,3135,8.0
2026-02-13,AM,3691,8.5
2026-02-13,PM,3112,7.5
2026-02-14,AM,3243,8.5
2026-02-14,PM,3660,8.5
2026-02-15,AM,3594,8.5
2026-02-15,PM,3491,8.5
2026-02-16,AM,3403,8.0
2026-02-16,PM,3152,7.5
2026-02-17,AM,3510,8.0
2026-02-17,PM,2834,7.5
2026-02-18,AM,3488,8.0
2026-02-18,PM,3301,8.5
2026-02-19,AM,3355,8.5
2026-02-19,PM,3378,8.0
2026-02-20,AM,3329,8.0
2026-02-20,PM,3483,8.5
2026-02-21,AM,3109,7.5
2026-02-21,PM,3104,8.0
2026-02-22,AM,3449,8.0
2026-02-22,PM,3153,8.0
2026-02-23,AM,3425,8.0
2026-02-23,PM,3193,8.0
2026-02-24,AM,3144,8.0
2026-02-24,PM,3556,8.5
2026-02-25,AM,3215,8.0
2026-02-25,PM,3479,8.0
2026-02-26,AM,3136,8.0
2026-02-26,PM,3018,8.0
2026-02-27,AM,3524,8.0
2026-02-27,PM,3279,8.0
2026-02-28,AM,3384,8.0
2026-02-28,PM,3234,8.0
2026-03-01,AM,2945,7.5
2026-03-01,PM,3160,8.0
2026-03-02,AM,3295,8.0
2026-03-02,PM,3614,8.5
2026-03-03,AM,3028,7.5
2026-03-03,PM,2882,7.5
2026-03-04,AM,3344,8.0
2026-03-04,PM,3401,8.0
2026-03-05,AM,3353,8.0
2026-03-05,PM,3492,8.0
2026-03-06,AM,3106,7.5
2026-03-06,PM,3200,8.0
2026-03-07,AM,3098,8.0
2026-03-07,PM,3196,7.5
2026-03-08,AM,3254,8.0
2026-03-08,PM,3170,7.5
2026-03-09,AM,3229,7.5
2026-03-09,PM,3379,8.0
2026-03-10,AM,3366,8.0
2026-03-10,PM,3655,8.5
2026-03-11,AM,3340,7.5
2026-03-11,PM,3204,7.5
2026-03-12,AM,3722,8.5
2026-03-12,PM,3522,8.5
2026-03-13,AM,3372,8.0
2026-03-13,PM,3029,8.0
2026-03-14,AM,3145,7.5
2026-03-14,PM,2868,7.5
2026-03-15,AM,3301,8.5
2026-03-15,PM,3319,8.5
2026-03-16,AM,3156,8.0
2026-03-16,PM,3238,7.5
2026-03-17,AM,3531,8.0
2026-03-17,PM,3237,8.0
2026-03-18,AM,3325,8.0
2026-03-18,PM,3027,8.0
2026-03-19,AM,3344,8.0
2026-03-19,PM,3095,7.5
2026-03-20,AM,3301,8.5
2026-03-20,PM,2848,7.5
2026-03-21,AM,3461,8.5
2026-03-21,PM,3229,8.0
2026-03-22,AM,3628,8.5
2026-03-22,PM,3574,8.5
2026-03-23,AM,3264,7.5
2026-03-23,PM,2899,7.5
2026-03-24,AM,3237,8.5
2026-03-24,PM,3185,8.0
2026-03-25,AM,3655,8.5
2026-03-25,PM,3153,8.0
2026-03-26,AM,2902,7.5
2026-03-26,PM,3257,8.0
2026-03-27,AM,3750,8.5
2026-03-27,PM,3028,7.5
2026-03-28,AM,3085,8.0
2026-03-28,PM,3064,7.5
2026-03-29,AM,3103,8.0
2026-03-29,PM,3526,8.5
2026-03-30,AM,3653,8.5
2026-03-30,PM,3203,7.5
2026-03-31,AM,3550,8.5
2026-03-31,PM,3262,7.5
