date,shift,units_processed,labor_hours
2026-01-01,AM,3251,8.0
2026-01-01,PM,3145,7.5
2026-01-02,AM,3107,8.5
2026-01-02,PM,3209,8.0
2026-01-03,AM,3174,8.0
2026-01-03,PM,2693,7.5
2026-01-04,AM,3331,8.0
2026-01-04,PM,3240,8.0
2026-01-05,AM,3160,8.0
2026-01-05,PM,2887,7.5
2026-01-06,AM,3301,8.0
2026-01-06,PM,3424,8.5
2026-01-07,AM,3567,8.5
2026-01-07,PM,3036,8.0
2026-01-08,AM,3076,8.5
2026-01-08,PM,3317,8.0
2026-01-09,AM,3342,8.0
2026-01-09,PM,3494,8.5
2026-01-10,AM,2656,7.5
2026-01-10,PM,3071,8.0
2026-01-11,AM,3066,8.0
2026-01-11,PM,2784,7.5
2026-01-12,AM,3104,8.5
2026-01-12,PM,3295,8.0
2026-01-13,AM,3055,8.0
2026-01-13,PM,2756,7.5
2026-01-14,AM,3083,7.5
2026-01-14,PM,3090,7.5
2026-01-15,AM,2932,8.0
2026-01-15,PM,3001,7.5
2026-01-16,AM,3011,8.5
2026-01-16,PM,2998,7.5
2026-01-17,AM,2949,8.0
2026-01-17,PM,2827,7.5
2026-01-18,AM,3147,8.0
2026-01-18,PM,3405,8.5
2026-01-19,AM,3480,8.5
2026-01-19,PM,3589,8.5
2026-01-20,AM,2905,8.0
2026-01-20,PM,3576,8.5
2026-01-21,AM,3015,7.5
2026-01-21,PM,3080,8.0
2026-01-22,AM,3339,8.5
2026-01-22,PM,3423,8.5
2026-01-23,AM,2714,7.5
2026-01-23,PM,2921,8.0
2026-01-24,AM,3229,8.0
2026-01-24,PM,2815,7.5
2026-01-25,AM,2990,8.0
2026-01-25,PM,3019,8.0
2026-01-26,AM,3007,8.5
2026-01-26,PM,2955,8.0
2026-01-27,AM,3305,8.5
2026-01-27,PM,3249,8.5
2026-01-28,AM,3334,8.0
2026-01-28,PM,2698,7.5
2026-01-29,AM,3161,8.5
2026-01-29,PM,3319,8.0
2026-01-30,AM,3240,8.0
2026-01-30,PM,3123,7.5
2026-01-31,AM,3091,8.0
2026-01-31,PM,3305,8.0
2026-02-01,AM,2665,7.5
2026-02-01,PM,3340,8.0
2026-02-02,AM,3116,7.5
2026-02-02,PM,3036,8.5
2026-02-03,AM,3343,8.0
2026-02-03,PM,3321,8.0
2026-02-04,AM,2944,8.0
2026-02-04,PM,3044,8.0
2026-02-05,AM,3296,8.0
2026-02-05,PM,2873,7.5
2026-02-06,AM,3074,8.0
2026-02-06,PM,3537,8.5
2026-02-07,AM,3261,8.5
2026-02-07,PM,3182,8.0
2026-02-08,AM,3032,8.0
2026-02-08,PM,3249,8.0
2026-02-09,AM,3080,7.5
2026-02-09,PM,3526,8.5
2026-02-10,AM,3260,8.0
2026-02-10,PM,2800,7.5
2026-02-11,AM,3548,8.5
2026-02-11,PM,3137,8.0
2026-02-12,AM,3297,8.0
2026-02-12,PM,2993,8.0
2026-02-13,AM,3308,8.0
2026-02-13,PM,3236,8.0
2026-02-14,AM,2905,7.5
2026-02-14,PM,2820,7.5
2026-02-15,AM,2828,8.0
2026-02-15,PM,3265,8.5
2026-02-16,AM,2694,7.5
2026-02-16,PM,3361,8.0
2026-02-17,AM,3272,8.0
2026-02-17,PM,3273,8.5
2026-02-18,AM,3060,8.0
2026-02-18,PM,3301,8.5
2026-02-19,AM,3245,8.0
2026-02-19,PM,3103,8.0
2026-02-20,AM,3083,7.5
2026-02-20,PM,3517,8.5
2026-02-21,AM,2943,8.0
2026-02-21,PM,3101,7.5
2026-02-22,AM,3272,8.0
2026-02-22,PM,3052,8.0
2026-02-23,AM,3176,8.5
2026-02-23,PM,3100,8.0
2026-02-24,AM,2958,8.0
2026-02-24,PM,3443,8.5
2026-02-25,AM,3068,8.5
2026-02-25,PM,3233,8.0
2026-02-26,AM,2821,7.5
2026-02-26,PM,3061,8.0
2026-02-27,AM,2974,7.5
2026-02-27,PM,3078,8.0
2026-02-28,AM,3130,8.0
2026-02-28,PM,3309,8.5
2026-03-01,AM,3257,8.5
2026-03-01,PM,3258,8.0
2026-03-02,AM,3301,8.0
2026-03-02,PM,3494,8.5
2026-03-03,AM,3249,8.5
2026-03-03,PM,2746,7.5
2026-03-04,AM,3177,8.0
2026-03-04,PM,3142,7.5
2026-03-05,AM,3006,8.5
2026-03-05,PM,3149,8.0
2026-03-06,AM,3207,8.0
2026-03-06,PM,3068,8.0
2026-03-07,AM,3343,8.0
2026-03-07,PM,2829,8.0
2026-03-08,AM,3152,8.0
2026-03-08,PM,3211,8.5
2026-03-09,AM,3105,7.5
2026-03-09,PM,3036,8.0
2026-03-10,AM,3158,7.5
2026-03-10,PM,2690,7.5
2026-03-11,AM,3033,8.0
2026-03-11,PM,3118,8.0
2026-03-12,AM,2945,7.5
2026-03-12,PM,3077,7.5
2026-03-13,AM,3525,8.5
2026-03-13,PM,3168,8.5
2026-03-14,AM,3311,8.0
2026-03-14,PM,3082,7.5
2026-03-15,AM,3107,8.5
2026-03-15,PM,3554,8.5
2026-03-16,AM,3007,7.5
2026-03-16,PM,2802,7.5
2026-03-17,AM,3437,8.5
2026-03-17,PM,2820,7.5
2026-03-18,AM,3343,8.0
2026-03-18,PM,3106,8.5
2026-03-19,AM,3083,8.5
2026-03-19,PM,3060,8.0
2026-03-20,AM,3569,8.5
2026-03-20,PM,3026,8.0
2026-03-21,AM,3061,8.0
2026-03-21,PM,3312,8.0
2026-03-22,AM,3230,8.5
2026-03-22,PM,3094,8.0
2026-03-23,AM,3310,8.5
2026-03-23,PM,3023,8.0
2026-03-24,AM,3000,8.5
2026-03-24,PM,3031,8.0
2026-03-25,AM,3585,8.5
2026-03-25,PM,3171,7.5
2026-03-26,AM,3334,8.0
2026-03-26,PM,3362,8.0
2026-03-27,AM,3493,8.5
2026-03-27,PM,3126,8.5
2026-03-28,AM,2924,8.0
2026-03-28,PM,3114,7.5
2026-03-29,AM,2938,8.0
2026-03-29,PM,3021,8.0
2026-03-30,AM,2812,7.5
2026-03-30,PM,3348,8.0
2026-03-31,AM,2851,8.0
2026-03-31,PM,3108,8.5
