date,shift,units_processed,labor_hours
2026-01-01,AM,2536,8.5
2026-01-01,PM,2220,8.0
2026-01-02,AM,2198,8.0
2026-01-02,PM,2020,7.5
2026-01-03,AM,2072,7.5
2026-01-03,PM,2212,8.0
2026-01-04,AM,2543,8.0
2026-01-04,PM,2670,8.0
2026-01-05,AM,2395,8.0
2026-01-05,PM,2782,8.5
2026-01-06,AM,2242,8.0
2026-01-06,PM,2490,8.0
2026-01-07,AM,2253,7.5
2026-01-07,PM,2679,8.0
2026-01-08,AM,2675,8.0
2026-01-08,PM,2330,8.0
2026-01-09,AM,2349,8.5
2026-01-09,PM,2482,8.0
2026-01-10,AM,2477,8.5
2026-01-10,PM,2209,8.0
2026-01-11,AM,2573,8.0
2026-01-11,PM,2450,8.0
2026-01-12,AM,2180,8.0
2026-01-12,PM,2273,8.0
2026-01-13,AM,2357,8.0
2026-01-13,PM,2624,8.5
2026-01-14,AM,2181,8.0
2026-01-14,PM,2034,7.5
2026-01-15,AM,2560,8.0
2026-01-15,PM,2803,8.5
2026-01-16,AM,2227,8.0
2026-01-16,PM,2462,8.0
2026-01-17,AM,2499,8.0
2026-01-17,PM,2164,8.0
2026-01-18,AM,2286,8.0
2026-01-18,PM,2721,8.5
2026-01-19,AM,2548,8.5
2026-01-19,PM,2363,8.5
2026-01-20,AM,2125,7.5
2026-01-20,PM,2293,8.5
2026-01-21,AM,2138,8.0
2026-01-21,PM,2416,8.0
2026-01-22,AM,2507,8.0
2026-01-22,PM,2513,7.5
2026-01-23,AM,2221,8.0
2026-01-23,PM,2564,8.0
2026-01-24,AM,2356,8.0
2026-01-24,PM,2143,8.0
2026-01-25,AM,2500,8.0
2026-01-25,PM,2400,7.5
2026-01-26,AM,2139,7.5
2026-01-26,PM,2360,7.5
2026-01-27,AM,2556,8.0
2026-01-27,PM,2454,7.5
2026-01-28,AM,2629,8.5
2026-01-28,PM,2649,8.0
2026-01-29,AM,2369,8.0
2026-01-29,PM,2300,8.0
2026-01-30,AM,2234,7.5
2026-01-30,PM,2150,8.0
2026-01-31,AM,2576,8.0
2026-01-31,PM,2129,7.5
2026-02-01,AM,2328,8.5
2026-02-01,PM,2355,8.0
2026-02-02,AM,2449,8.0
2026-02-02,PM,2378,8.5
2026-02-03,AM,2399,8.0
2026-02-03,PM,2810,8.5
2026-02-04,AM,2143,8.0
2026-02-04,PM,2215,8.0
2026-02-05,AM,2571,8.5
2026-02-05,PM,2480,8.0
2026-02-06,AM,2388,7.5
2026-02-06,PM,2539,8.5
2026-02-07,AM,2587,8.5
2026-02-07,PM,2585,8.5
2026-02-08,AM,2100,7.5
2026-02-08,PM,2644,8.0
2026-02-09,AM,2558,8.5
2026-02-09,PM,2574,8.0
2026-02-10,AM,2483,8.0
2026-02-10,PM,2167,8.0
2026-02-11,AM,2184,8.0
2026-02-11,PM,2407,8.0
2026-02-12,AM,2220,7.5
2026-02-12,PM,2441,7.5
2026-02-13,AM,2415,8.0
2026-02-13,PM,2417,8.0
2026-02-14,AM,2319,8.0
2026-02-14,PM,2305,8.0
2026-02-15,AM,2566,8.0
2026-02-15,PM,2170,7.5
2026-02-16,AM,2281,7.5
2026-02-16,PM,2403,8.0
2026-02-17,AM,2432,8.5
2026-02-17,PM,2405,8.0
2026-02-18,AM,2329,8.0
2026-02-18,PM,2394,8.0
2026-02-19,AM,2523,8.5
2026-02-19,PM,2224,7.5
2026-02-20,AM,2368,8.5
2026-02-20,PM,2650,8.0
2026-02-21,AM,2049,7.5
2026-02-21,PM,2211,8.0
2026-02-22,AM,2352,8.5
2026-02-22,PM,2183,8.0
2026-02-23,AM,2532,8.0
2026-02-23,PM,2180,8.0
2026-02-24,AM,2587,8.0
2026-02-24,PM,2153,8.0
2026-02-25,AM,2287,7.5
2026-02-25,PM,2300,8.0
2026-02-26,AM,2114,7.5
2026-02-26,PM,2357,8.0
2026-02-27,AM,2639,8.0
2026-02-27,PM,2231,8.0
2026-02-28,AM,2192,7.5
2026-02-28,PM,2560,8.5
2026-03-01,AM,2285,8.5
2026-03-01,PM,2310,8.0
2026-03-02,AM,2073,7.5
2026-03-02,PM,2390,8.0
2026-03-03,AM,2168,7.5
2026-03-03,PM,2549,8.5
2026-03-04,AM,2433,7.5
2026-03-04,PM,2269,7.5
2026-03-05,AM,2467,7.5
2026-03-05,PM,2238,8.0
2026-03-06,AM,2225,7.5
2026-03-06,PM,2435,7.5
2026-03-07,AM,2558,8.5
2026-03-07,PM,2012,7.5
2026-03-08,AM,2576,8.5
2026-03-08,PM,2132,8.0
2026-03-09,AM,2500,8.5
2026-03-09,PM,2814,8.5
2026-03-10,AM,2289,7.5
2026-03-10,PM,2305,8.5
2026-03-11,AM,2347,8.0
2026-03-11,PM,2665,8.0
2026-03-12,AM,2646,8.0
2026-03-12,PM,2384,8.5
2026-03-13,AM,2065,7.5
2026-03-13,PM,2289,8.5
